site_prob,clus_size,clus_time
0.25,5.276,0.043
0.3,6.888,0.053
0.35,8.708,0.059
0.39999999999999997,11.164,0.068
0.44999999999999996,15.496,0.078
0.5,19.782,0.089
0.505,19.362,0.09
0.51,21.238,0.09
0.515,21.858,0.095
0.52,21.516,0.094
0.525,21.946,0.092
0.53,24.024,0.095
0.535,22.844,0.095
0.54,24.818,0.098
0.545,25.772,0.106
0.55,25.762,0.104
0.555,27.646,0.101
0.56,26.878,0.1
0.5650000000000001,27.7,0.1
0.5700000000000001,28.73,0.105
0.5750000000000001,30.404,0.106
0.5800000000000001,30.224,0.104
0.5850000000000001,30.506,0.105
0.5900000000000001,33.0,0.106
0.592746,32.434,0.107
0.5950000000000001,33.108,0.112
0.6000000000000001,34.442,0.112
0.6050000000000001,35.576,0.108
0.6100000000000001,36.606,0.112
0.6150000000000001,36.984,0.112
0.6200000000000001,37.578,0.114
0.6250000000000001,39.95,0.113
0.6300000000000001,39.154,0.117
0.6350000000000001,40.566,0.119
0.6400000000000001,40.824,0.117
0.6450000000000001,42.236,0.118
0.6500000000000001,43.812,0.117
0.6550000000000001,45.928,0.122
0.6600000000000001,44.828,0.122
0.6650000000000001,45.786,0.121
0.6700000000000002,47.796,0.124
0.6750000000000002,50.48,0.126
0.6800000000000002,50.368,0.127
0.6850000000000002,52.414,0.126
0.6900000000000002,52.364,0.123
0.6950000000000002,54.114,0.128
0.7,55.756,0.131
0.75,65.722,0.138
0.8,75.93,0.142
0.8500000000000001,83.676,0.143
