site_prob,clus_size,clus_time
0.25,12.71,0.185
0.3,17.42,0.226
0.35,23.12,0.278
0.39999999999999997,33.16,0.326
0.44999999999999996,47.59,0.366
0.5,82.32,0.43
0.505,76.13,0.421
0.51,88.55,0.45
0.515,92.16,0.452
0.52,87.65,0.452
0.525,99.68,0.486
0.53,102.22,0.464
0.535,113.95,0.47
0.54,123.64,0.471
0.545,130.94,0.475
0.55,133.55,0.481
0.555,140.7,0.484
0.56,140.05,0.484
0.5650000000000001,163.18,0.496
0.5700000000000001,163.49,0.505
0.5750000000000001,173.22,0.507
0.5800000000000001,184.55,0.506
0.5850000000000001,189.29,0.508
0.5900000000000001,210.53,0.576
0.592746,229.18,0.524
0.5950000000000001,234.26,0.524
0.6000000000000001,242.85,0.522
0.6050000000000001,241.03,0.535
0.6100000000000001,295.8,0.537
0.6150000000000001,310.45,0.551
0.6200000000000001,334.69,0.56
0.6250000000000001,344.24,0.563
0.6300000000000001,378.42,0.57
0.6350000000000001,399.15,0.558
0.6400000000000001,437.63,0.558
0.6450000000000001,467.35,0.573
0.6500000000000001,500.6,0.632
0.6550000000000001,548.17,0.602
0.6600000000000001,601.43,0.589
0.6650000000000001,668.23,0.585
0.6700000000000002,657.92,0.605
0.6750000000000002,792.01,0.615
0.6800000000000002,815.23,0.64
0.6850000000000002,848.78,0.619
0.6900000000000002,924.25,0.605
0.6950000000000002,942.39,0.635
0.7,1084.21,0.628
0.75,1582.76,0.709
0.8,1899.44,0.687
0.8500000000000001,2099.42,0.688
