site_prob,clus_size,clus_time
0.25,5.4182,0.937
0.3,7.022,1.135
0.35,9.2795,1.337
0.39999999999999997,12.3225,1.563
0.44999999999999996,16.6854,1.866
0.5,22.5035,2.017
0.505,23.222,2.053
0.51,23.8365,2.091
0.515,24.7589,2.154
0.52,25.6558,2.124
0.525,26.2376,2.131
0.53,27.0583,2.175
0.535,27.7179,2.186
0.54,28.7699,2.215
0.545,29.4581,2.31
0.55,30.4746,2.257
0.555,31.4985,2.289
0.56,32.036,2.443
0.5650000000000001,33.1969,2.417
0.5700000000000001,33.916,2.412
0.5750000000000001,35.2085,2.359
0.5800000000000001,35.9974,2.386
0.5850000000000001,37.1199,2.395
0.5900000000000001,38.1512,2.424
0.592746,38.7027,2.448
0.5950000000000001,39.364,2.482
0.6000000000000001,40.625,2.457
0.6050000000000001,41.4957,2.482
0.6100000000000001,42.4723,2.505
0.6150000000000001,43.3751,2.523
0.6200000000000001,44.7417,2.545
0.6250000000000001,45.7922,2.56
0.6300000000000001,46.6047,2.585
0.6350000000000001,47.7752,2.61
0.6400000000000001,49.2829,2.628
0.6450000000000001,50.4122,2.638
0.6500000000000001,51.2847,2.769
0.6550000000000001,52.2234,2.734
0.6600000000000001,53.5012,2.664
0.6650000000000001,54.6874,2.676
0.6700000000000002,55.8636,2.727
0.6750000000000002,56.687,2.723
0.6800000000000002,57.7389,2.806
0.6850000000000002,59.1657,2.892
0.6900000000000002,60.2219,2.755
0.6950000000000002,60.8921,2.841
0.7,61.8617,2.812
0.75,71.4115,2.922
0.8,78.4966,2.929
0.8500000000000001,84.5035,2.958
