site_prob,clus_size,clus_time
0.25,12.884,0.903
0.3,17.3,1.138
0.35,23.684,1.347
0.39999999999999997,34.072,1.624
0.44999999999999996,49.56,1.85
0.5,78.408,2.125
0.505,83.694,2.139
0.51,84.868,2.178
0.515,88.622,2.185
0.52,93.776,2.242
0.525,99.576,2.27
0.53,105.566,2.297
0.535,111.146,2.31
0.54,116.43,2.344
0.545,122.298,2.348
0.55,132.744,2.386
0.555,134.682,2.437
0.56,147.972,2.456
0.5650000000000001,160.06,2.477
0.5700000000000001,169.482,2.523
0.5750000000000001,177.404,2.538
0.5800000000000001,189.206,2.542
0.5850000000000001,200.346,2.58
0.5900000000000001,214.526,2.599
0.592746,223.286,2.631
0.5950000000000001,231.264,2.643
0.6000000000000001,242.748,2.679
0.6050000000000001,268.12,2.695
0.6100000000000001,281.588,2.724
0.6150000000000001,301.562,2.73
0.6200000000000001,325.402,2.733
0.6250000000000001,350.116,2.835
0.6300000000000001,370.188,2.801
0.6350000000000001,402.078,2.878
0.6400000000000001,430.828,2.837
0.6450000000000001,478.36,2.853
0.6500000000000001,509.804,2.907
0.6550000000000001,562.658,2.915
0.6600000000000001,610.48,2.986
0.6650000000000001,628.47,2.945
0.6700000000000002,689.426,3.009
0.6750000000000002,726.678,3.025
0.6800000000000002,796.278,3.02
0.6850000000000002,850.356,3.113
0.6900000000000002,939.132,3.069
0.6950000000000002,969.016,3.125
0.7,1036.956,3.131
0.75,1582.116,3.316
0.8,1913.57,3.376
0.8500000000000001,2097.412,3.491
