site_prob,clus_size,clus_time
0.25,13.2,2.213
0.3,18.916,2.833
0.35,27.435,3.615
0.39999999999999997,42.369,4.412
0.44999999999999996,72.519,5.379
0.5,139.802,5.997
0.505,144.437,6.071
0.51,158.307,6.185
0.515,176.63,6.263
0.52,188.109,6.622
0.525,203.613,6.503
0.53,221.731,6.755
0.535,245.993,6.783
0.54,266.739,6.93
0.545,296.402,6.695
0.55,338.774,6.781
0.555,356.068,6.835
0.56,395.36,6.9
0.5650000000000001,426.359,6.973
0.5700000000000001,489.308,7.046
0.5750000000000001,527.021,7.115
0.5800000000000001,591.671,7.198
0.5850000000000001,651.856,7.201
0.5900000000000001,683.411,7.25
0.592746,756.719,7.286
0.5950000000000001,799.255,7.3
0.6000000000000001,841.729,7.303
0.6050000000000001,897.307,7.375
0.6100000000000001,961.281,7.638
0.6150000000000001,1040.016,8.003
0.6200000000000001,1115.891,7.809
0.6250000000000001,1173.595,7.988
0.6300000000000001,1235.049,7.583
0.6350000000000001,1279.464,7.591
0.6400000000000001,1343.737,7.629
0.6450000000000001,1389.333,7.701
0.6500000000000001,1421.908,7.717
0.6550000000000001,1460.718,7.719
0.6600000000000001,1498.288,7.8
0.6650000000000001,1523.354,7.822
0.6700000000000002,1553.247,7.734
0.6750000000000002,1578.091,8.179
0.6800000000000002,1608.529,8.027
0.6850000000000002,1630.646,8.077
0.6900000000000002,1653.43,7.913
0.6950000000000002,1673.545,7.755
0.7,1692.851,8.217
0.75,1854.488,7.776
0.8,1992.35,7.759
0.8500000000000001,2122.587,7.431
