site_prob,clus_size,clus_time
0.25,13.3597,22.214
0.3,18.9238,28.841
0.35,27.5893,35.731
0.39999999999999997,42.6218,44.335
0.44999999999999996,71.8185,53.278
0.5,137.3588,60.613
0.505,148.0748,61.417
0.51,160.1329,62.202
0.515,174.0057,62.945
0.52,188.2093,63.79
0.525,205.7897,64.308
0.53,223.567,65.532
0.535,244.1017,65.599
0.54,268.2195,66.551
0.545,297.0645,67.331
0.55,325.2315,68.322
0.555,355.0186,69.264
0.56,393.0084,69.636
0.5650000000000001,433.7671,70.644
0.5700000000000001,481.1033,70.517
0.5750000000000001,527.5131,71.357
0.5800000000000001,580.8514,71.981
0.5850000000000001,640.3772,73.624
0.5900000000000001,708.3108,73.201
0.592746,738.3605,73.401
0.5950000000000001,778.5193,73.528
0.6000000000000001,836.8792,73.907
0.6050000000000001,908.3907,74.009
0.6100000000000001,975.7369,74.993
0.6150000000000001,1041.0172,76.15
0.6200000000000001,1114.3202,75.447
0.6250000000000001,1173.0666,76.063
0.6300000000000001,1231.5527,75.896
0.6350000000000001,1287.5979,76.131
0.6400000000000001,1336.5942,76.174
0.6450000000000001,1386.3154,76.412
0.6500000000000001,1426.3622,76.538
0.6550000000000001,1463.4142,76.812
0.6600000000000001,1496.4595,77.975
0.6650000000000001,1528.7083,77.003
0.6700000000000002,1556.7423,76.847
0.6750000000000002,1581.789,77.158
0.6800000000000002,1606.7789,77.533
0.6850000000000002,1630.5688,76.92
0.6900000000000002,1651.3849,77.413
0.6950000000000002,1671.6142,77.648
0.7,1690.6388,79.142
0.75,1853.4118,77.647
0.8,1992.4378,75.0
0.8500000000000001,2122.7427,73.434
