site_prob,clus_size,clus_time
0.25,16.09,3.593
0.3,22.072,4.482
0.35,31.758,5.441
0.39999999999999997,44.936,6.484
0.44999999999999996,68.752,7.549
0.5,109.146,8.59
0.505,118.078,8.707
0.51,122.696,8.852
0.515,132.934,9.004
0.52,140.32,9.164
0.525,145.132,9.213
0.53,152.618,9.593
0.535,167.11,9.442
0.54,174.186,9.613
0.545,187.462,9.752
0.55,196.888,9.729
0.555,215.208,9.807
0.56,235.434,9.935
0.5650000000000001,244.508,10.075
0.5700000000000001,263.394,10.18
0.5750000000000001,287.422,10.324
0.5800000000000001,308.826,10.39
0.5850000000000001,333.398,10.5
0.5900000000000001,355.48,10.539
0.592746,370.576,10.73
0.5950000000000001,396.332,10.761
0.6000000000000001,431.324,10.917
0.6050000000000001,475.846,11.0
0.6100000000000001,490.58,10.978
0.6150000000000001,554.04,11.204
0.6200000000000001,621.888,11.154
0.6250000000000001,673.312,11.325
0.6300000000000001,770.932,11.422
0.6350000000000001,848.444,11.559
0.6400000000000001,924.314,11.624
0.6450000000000001,1028.684,11.701
0.6500000000000001,1153.342,11.847
0.6550000000000001,1304.632,11.904
0.6600000000000001,1512.376,12.016
0.6650000000000001,1648.486,12.125
0.6700000000000002,1803.1,12.275
0.6750000000000002,2104.39,12.385
0.6800000000000002,2259.762,12.402
0.6850000000000002,2563.316,12.464
0.6900000000000002,2923.756,12.623
0.6950000000000002,3286.4,12.679
0.7,3496.978,12.719
0.75,6364.892,13.196
0.8,7636.398,13.613
0.8500000000000001,8379.69,13.887
