site_prob,clus_size,clus_time
0.25,12.5538,18.34
0.3,17.2248,22.766
0.35,23.8268,27.523
0.39999999999999997,33.8445,32.095
0.44999999999999996,49.8519,37.087
0.5,77.8802,42.509
0.505,81.9547,42.82
0.51,85.9245,43.895
0.515,89.7452,45.687
0.52,94.9852,44.867
0.525,100.2475,45.109
0.53,105.7488,45.667
0.535,111.0622,46.098
0.54,117.2893,46.755
0.545,124.7677,47.503
0.55,131.9643,47.639
0.555,139.5205,48.34
0.56,147.7296,48.526
0.5650000000000001,156.5924,49.355
0.5700000000000001,165.9617,49.695
0.5750000000000001,178.0942,50.911
0.5800000000000001,190.0734,51.194
0.5850000000000001,202.4347,51.286
0.5900000000000001,215.0244,51.939
0.592746,223.466,52.06
0.5950000000000001,229.2514,52.47
0.6000000000000001,245.5823,52.773
0.6050000000000001,266.6379,53.453
0.6100000000000001,282.0035,54.005
0.6150000000000001,306.7792,54.338
0.6200000000000001,328.6821,54.873
0.6250000000000001,352.3578,55.274
0.6300000000000001,378.461,55.972
0.6350000000000001,409.9708,56.266
0.6400000000000001,440.5645,56.842
0.6450000000000001,478.5092,57.065
0.6500000000000001,513.1353,57.759
0.6550000000000001,554.4239,58.087
0.6600000000000001,595.5526,58.817
0.6650000000000001,647.0207,59.048
0.6700000000000002,695.5657,59.719
0.6750000000000002,741.8328,59.948
0.6800000000000002,802.118,61.104
0.6850000000000002,859.7093,60.834
0.6900000000000002,913.2529,61.516
0.6950000000000002,975.8807,61.65
0.7,1033.2841,62.267
0.75,1590.1838,65.169
0.8,1908.0556,67.758
0.8500000000000001,2097.9647,69.104
