site_prob,clus_size,clus_time
0.25,17.2705,110.676
0.3,24.7028,152.751
0.35,37.0793,200.866
0.39999999999999997,59.1453,258.574
0.44999999999999996,105.3694,309.17
0.5,225.9763,366.076
0.505,247.0014,369.299
0.51,271.4229,375.978
0.515,300.2258,382.164
0.52,332.5074,387.656
0.525,371.4482,389.312
0.53,416.9973,396.176
0.535,469.1219,398.215
0.54,530.957,405.098
0.545,608.6656,406.29
0.55,693.1152,414.7
0.555,807.0175,415.615
0.56,938.7953,422.839
0.5650000000000001,1103.1131,423.469
0.5700000000000001,1301.6751,430.102
0.5750000000000001,1529.8472,429.493
0.5800000000000001,1804.4864,436.837
0.5850000000000001,2132.2872,435.441
0.5900000000000001,2497.4208,444.217
0.592746,2719.2261,436.221
0.5950000000000001,2899.4587,440.345
0.6000000000000001,3322.6343,438.691
0.6050000000000001,3734.0413,444.054
0.6100000000000001,4127.9662,441.829
0.6150000000000001,4510.3468,445.826
0.6200000000000001,4833.9722,443.17
0.6250000000000001,5112.7641,446.006
0.6300000000000001,5342.0549,443.165
0.6350000000000001,5540.0644,445.922
0.6400000000000001,5709.8808,443.447
0.6450000000000001,5851.387,444.877
0.6500000000000001,5980.9701,440.749
0.6550000000000001,6092.4592,443.597
0.6600000000000001,6196.5751,438.724
0.6650000000000001,6292.1031,439.845
0.6700000000000002,6379.2109,437.292
0.6750000000000002,6461.5916,437.45
0.6800000000000002,6544.1353,433.304
0.6850000000000002,6621.1399,433.373
0.6900000000000002,6690.3063,428.72
0.6950000000000002,6762.6611,428.846
0.7,6830.8842,423.216
0.75,7436.1618,396.028
0.8,7977.2856,363.872
0.8500000000000001,8492.735,332.967
