site_prob,clus_size,clus_time
0.25,15.93,0.742
0.3,21.79,0.927
0.35,30.9,1.115
0.39999999999999997,45.04,1.346
0.44999999999999996,65.39,1.646
0.5,110.54,1.784
0.505,110.89,1.733
0.51,120.42,1.75
0.515,126.11,1.876
0.52,134.47,1.834
0.525,151.02,1.855
0.53,148.18,1.889
0.535,157.28,1.966
0.54,172.51,1.93
0.545,191.32,1.939
0.55,209.28,1.973
0.555,211.29,1.986
0.56,220.44,1.99
0.5650000000000001,248.83,2.033
0.5700000000000001,261.21,2.123
0.5750000000000001,260.08,2.079
0.5800000000000001,296.18,2.091
0.5850000000000001,321.56,2.105
0.5900000000000001,354.85,2.11
0.592746,370.7,2.135
0.5950000000000001,384.81,2.128
0.6000000000000001,445.72,2.143
0.6050000000000001,472.69,2.177
0.6100000000000001,488.01,2.224
0.6150000000000001,558.75,2.279
0.6200000000000001,613.2,2.261
0.6250000000000001,679.89,2.269
0.6300000000000001,778.36,2.254
0.6350000000000001,819.21,2.301
0.6400000000000001,968.1,2.36
0.6450000000000001,1036.77,2.325
0.6500000000000001,1149.11,2.373
0.6550000000000001,1279.23,2.391
0.6600000000000001,1496.34,2.425
0.6650000000000001,1690.02,2.417
0.6700000000000002,1865.95,2.423
0.6750000000000002,1989.87,2.443
0.6800000000000002,2235.56,2.492
0.6850000000000002,2547.97,2.48
0.6900000000000002,2816.46,2.505
0.6950000000000002,3246.23,2.515
0.7,3631.53,2.546
0.75,6320.73,2.632
0.8,7598.69,2.719
0.8500000000000001,8381.24,2.831
