site_prob,clus_size,clus_time
0.25,5.3107,0.902
0.3,6.9003,1.084
0.35,8.8544,1.237
0.39999999999999997,11.5034,1.444
0.44999999999999996,14.9277,1.631
0.5,19.6623,1.888
0.505,20.2629,1.879
0.51,20.8542,1.855
0.515,21.2632,1.913
0.52,21.9871,1.982
0.525,22.5026,1.919
0.53,23.1614,1.96
0.535,23.6948,2.006
0.54,24.5059,2.012
0.545,25.226,2.002
0.55,25.8371,2.235
0.555,26.628,2.124
0.56,27.3612,2.062
0.5650000000000001,28.0684,2.085
0.5700000000000001,28.8767,2.139
0.5750000000000001,29.7536,2.125
0.5800000000000001,30.4486,2.154
0.5850000000000001,31.5189,2.207
0.5900000000000001,32.3203,2.185
0.592746,32.5292,2.188
0.5950000000000001,33.1445,2.433
0.6000000000000001,34.0749,2.217
0.6050000000000001,34.8177,2.261
0.6100000000000001,35.8601,2.293
0.6150000000000001,36.7537,2.385
0.6200000000000001,37.6942,2.328
0.6250000000000001,38.6022,2.343
0.6300000000000001,39.8179,2.36
0.6350000000000001,40.6772,2.446
0.6400000000000001,41.817,2.385
0.6450000000000001,42.8438,2.399
0.6500000000000001,43.7638,2.447
0.6550000000000001,44.8083,2.431
0.6600000000000001,46.0651,2.758
0.6650000000000001,47.1368,2.478
0.6700000000000002,48.3594,2.489
0.6750000000000002,49.2898,2.498
0.6800000000000002,50.3301,2.509
0.6850000000000002,51.6862,2.545
0.6900000000000002,52.7811,2.568
0.6950000000000002,53.9119,2.611
0.7,54.9961,2.621
0.75,65.9123,2.723
0.8,75.9915,2.868
0.8500000000000001,83.3659,2.954
