site_prob,clus_size,clus_time
0.25,13.374,1.08
0.3,18.672,1.412
0.35,27.816,1.81
0.39999999999999997,42.326,2.196
0.44999999999999996,71.926,2.592
0.5,135.46,3.131
0.505,147.824,3.081
0.51,164.308,3.103
0.515,176.662,3.135
0.52,186.982,3.213
0.525,207.594,3.212
0.53,220.51,3.276
0.535,252.388,3.274
0.54,274.12,3.34
0.545,300.058,3.359
0.55,312.638,3.399
0.555,354.75,3.425
0.56,395.422,3.475
0.5650000000000001,424.876,3.476
0.5700000000000001,499.794,3.563
0.5750000000000001,538.104,3.58
0.5800000000000001,572.58,3.643
0.5850000000000001,651.838,3.636
0.5900000000000001,719.022,3.659
0.592746,753.822,3.666
0.5950000000000001,777.31,3.679
0.6000000000000001,853.564,3.718
0.6050000000000001,910.42,3.752
0.6100000000000001,987.85,3.772
0.6150000000000001,1048.878,3.773
0.6200000000000001,1116.268,4.005
0.6250000000000001,1159.568,3.947
0.6300000000000001,1246.15,3.906
0.6350000000000001,1296.12,4.007
0.6400000000000001,1330.13,3.848
0.6450000000000001,1386.108,3.861
0.6500000000000001,1427.31,3.844
0.6550000000000001,1469.98,3.879
0.6600000000000001,1499.398,3.836
0.6650000000000001,1532.962,3.926
0.6700000000000002,1562.452,3.967
0.6750000000000002,1584.158,3.865
0.6800000000000002,1610.012,3.891
0.6850000000000002,1625.858,3.877
0.6900000000000002,1651.86,3.857
0.6950000000000002,1671.716,3.865
0.7,1692.32,3.868
0.75,1853.858,3.846
0.8,1992.752,3.747
0.8500000000000001,2122.092,3.684
