site_prob,clus_size,clus_time
0.25,5.31,0.009
0.3,6.08,0.011
0.35,8.39,0.012
0.39999999999999997,11.49,0.015
0.44999999999999996,14.49,0.016
0.5,21.07,0.018
0.505,19.53,0.018
0.51,19.32,0.019
0.515,23.45,0.018
0.52,22.2,0.019
0.525,20.47,0.019
0.53,23.17,0.019
0.535,22.91,0.019
0.54,23.6,0.02
0.545,25.53,0.024
0.55,26.3,0.022
0.555,29.34,0.023
0.56,27.84,0.021
0.5650000000000001,27.4,0.02
0.5700000000000001,29.69,0.021
0.5750000000000001,28.84,0.021
0.5800000000000001,28.92,0.022
0.5850000000000001,28.7,0.021
0.5900000000000001,34.14,0.023
0.592746,32.54,0.021
0.5950000000000001,33.02,0.022
0.6000000000000001,31.8,0.022
0.6050000000000001,35.45,0.024
0.6100000000000001,38.98,0.024
0.6150000000000001,36.5,0.024
0.6200000000000001,36.71,0.024
0.6250000000000001,39.29,0.023
0.6300000000000001,39.59,0.023
0.6350000000000001,42.83,0.026
0.6400000000000001,40.52,0.025
0.6450000000000001,44.31,0.027
0.6500000000000001,42.76,0.024
0.6550000000000001,46.44,0.024
0.6600000000000001,45.91,0.024
0.6650000000000001,49.44,0.025
0.6700000000000002,48.67,0.024
0.6750000000000002,50.33,0.024
0.6800000000000002,48.4,0.025
0.6850000000000002,51.45,0.025
0.6900000000000002,52.84,0.027
0.6950000000000002,52.65,0.026
0.7,54.56,0.027
0.75,66.99,0.028
0.8,75.58,0.03
0.8500000000000001,83.74,0.032
