site_prob,clus_size,clus_time
0.25,5.515,0.094
0.3,7.199,0.111
0.35,9.477,0.135
0.39999999999999997,12.426,0.163
0.44999999999999996,16.909,0.201
0.5,22.25,0.218
0.505,23.318,0.206
0.51,23.558,0.209
0.515,25.113,0.209
0.52,25.205,0.211
0.525,27.072,0.215
0.53,26.957,0.215
0.535,28.123,0.214
0.54,29.184,0.222
0.545,29.658,0.225
0.55,30.745,0.229
0.555,30.946,0.228
0.56,32.422,0.227
0.5650000000000001,32.932,0.229
0.5700000000000001,34.272,0.233
0.5750000000000001,35.235,0.237
0.5800000000000001,35.582,0.235
0.5850000000000001,37.555,0.239
0.5900000000000001,38.057,0.242
0.592746,37.921,0.279
0.5950000000000001,38.783,0.254
0.6000000000000001,39.681,0.251
0.6050000000000001,41.893,0.253
0.6100000000000001,42.417,0.249
0.6150000000000001,43.383,0.251
0.6200000000000001,45.034,0.257
0.6250000000000001,45.79,0.253
0.6300000000000001,47.576,0.261
0.6350000000000001,48.162,0.26
0.6400000000000001,49.107,0.258
0.6450000000000001,49.912,0.26
0.6500000000000001,51.8,0.261
0.6550000000000001,52.3,0.264
0.6600000000000001,53.823,0.271
0.6650000000000001,54.908,0.274
0.6700000000000002,56.206,0.27
0.6750000000000002,57.211,0.269
0.6800000000000002,58.02,0.27
0.6850000000000002,58.431,0.279
0.6900000000000002,59.857,0.273
0.6950000000000002,60.236,0.275
0.7,62.631,0.276
0.75,71.161,0.295
0.8,78.557,0.296
0.8500000000000001,84.555,0.293
