site_prob,clus_size,clus_time
0.25,5.264,0.05
0.3,7.32,0.057
0.35,9.608,0.066
0.39999999999999997,12.674,0.077
0.44999999999999996,16.678,0.089
0.5,22.638,0.1
0.505,24.38,0.102
0.51,23.08,0.102
0.515,24.526,0.104
0.52,25.884,0.109
0.525,26.53,0.109
0.53,27.454,0.109
0.535,28.084,0.109
0.54,29.518,0.11
0.545,28.096,0.11
0.55,31.31,0.112
0.555,32.838,0.114
0.56,31.846,0.115
0.5650000000000001,32.918,0.117
0.5700000000000001,34.49,0.119
0.5750000000000001,34.628,0.122
0.5800000000000001,35.128,0.118
0.5850000000000001,36.034,0.118
0.5900000000000001,37.014,0.124
0.592746,38.698,0.126
0.5950000000000001,39.708,0.148
0.6000000000000001,40.088,0.129
0.6050000000000001,42.222,0.126
0.6100000000000001,43.668,0.125
0.6150000000000001,44.588,0.125
0.6200000000000001,46.19,0.129
0.6250000000000001,44.294,0.128
0.6300000000000001,47.794,0.133
0.6350000000000001,49.256,0.134
0.6400000000000001,48.894,0.13
0.6450000000000001,51.016,0.132
0.6500000000000001,50.948,0.131
0.6550000000000001,51.974,0.133
0.6600000000000001,54.06,0.132
0.6650000000000001,53.836,0.133
0.6700000000000002,55.802,0.137
0.6750000000000002,57.252,0.134
0.6800000000000002,57.822,0.136
0.6850000000000002,59.528,0.137
0.6900000000000002,60.384,0.137
0.6950000000000002,62.334,0.141
0.7,61.89,0.143
0.75,71.0,0.142
0.8,78.254,0.15
0.8500000000000001,84.122,0.151
