site_prob,perc_prob,perc_time
0.25,0.0,1.561
0.3,0.0,1.95
0.35,0.0,2.592
0.39999999999999997,0.0,3.593
0.44999999999999996,0.0,5.257
0.5,0.0007,8.584
0.505,0.0016,9.254
0.51,0.0023,9.713
0.515,0.0044,10.529
0.52,0.0052,11.162
0.525,0.0103,11.956
0.53,0.0167,13.016
0.535,0.0233,13.997
0.54,0.0311,15.076
0.545,0.0436,16.375
0.55,0.0668,17.638
0.555,0.0926,19.02
0.56,0.1297,21.084
0.5650000000000001,0.1634,22.682
0.5700000000000001,0.2056,24.539
0.5750000000000001,0.2651,26.768
0.5800000000000001,0.321,28.362
0.5850000000000001,0.3925,30.787
0.5900000000000001,0.4625,32.909
0.592746,0.5033,34.157
0.5950000000000001,0.5375,35.0
0.6000000000000001,0.6135,37.308
0.6050000000000001,0.6834,39.493
0.6100000000000001,0.7411,40.976
0.6150000000000001,0.8011,43.013
0.6200000000000001,0.8453,44.444
0.6250000000000001,0.8855,45.766
0.6300000000000001,0.9167,47.502
0.6350000000000001,0.9406,48.445
0.6400000000000001,0.9562,50.463
0.6450000000000001,0.9715,51.384
0.6500000000000001,0.9801,52.46
0.6550000000000001,0.9883,53.376
0.6600000000000001,0.9939,54.203
0.6650000000000001,0.9956,55.246
0.6700000000000002,0.9971,55.871
0.6750000000000002,0.998,56.996
0.6800000000000002,0.9992,57.411
0.6850000000000002,0.9992,58.327
0.6900000000000002,0.9993,58.79
0.6950000000000002,0.9997,59.712
0.7,1.0,60.107
0.75,1.0,65.678
0.8,1.0,69.899
0.8500000000000001,1.0,74.434
