site_prob,perc_prob,perc_time
0.05,0.0,0.141
0.1,0.0,0.184
0.15000000000000002,0.0,0.241
0.2,0.0,0.299
0.25,0.0,0.376
0.3,0.0,0.48
0.35000000000000003,0.0,0.631
0.4,0.0,0.874
0.45,0.0,1.336
0.5,0.0,2.171
0.505,0.0,2.282
0.51,0.0,2.541
0.515,0.0,2.685
0.52,0.0,2.816
0.525,0.0,3.157
0.53,0.0,3.299
0.535,0.0,3.598
0.54,0.0,4.081
0.545,0.002,4.479
0.55,0.008,4.911
0.555,0.015,5.573
0.56,0.016,6.094
0.5650000000000001,0.054,7.156
0.5700000000000001,0.074,8.14
0.5750000000000001,0.154,9.607
0.5800000000000001,0.222,10.557
0.5850000000000001,0.332,12.006
0.5900000000000001,0.459,13.446
0.592746,0.515,14.022
0.5950000000000001,0.563,15.094
0.6000000000000001,0.664,15.774
0.6050000000000001,0.775,16.916
0.6100000000000001,0.873,18.098
0.6150000000000001,0.917,19.032
0.6200000000000001,0.945,19.584
0.6250000000000001,0.97,20.576
0.6300000000000001,0.988,20.951
0.6350000000000001,0.99,21.441
0.6400000000000001,0.996,21.825
0.6450000000000001,0.998,22.24
0.6500000000000001,1.0,22.793
0.6550000000000001,1.0,23.164
0.6600000000000001,1.0,23.528
0.6650000000000001,1.0,23.798
0.6700000000000002,1.0,24.071
0.6750000000000002,1.0,24.484
0.6800000000000002,1.0,24.892
0.6850000000000002,1.0,25.564
0.6900000000000002,1.0,25.809
0.6950000000000002,1.0,25.436
0.7,1.0,25.672
0.75,1.0,27.439
0.8,1.0,29.052
0.8500000000000001,1.0,30.618
0.9000000000000001,1.0,32.46
0.9500000000000002,1.0,35.145
1.0000000000000002,1.0,36.389
