site_prob,perc_prob,perc_time
0.05,0.0,0.02
0.1,0.0,0.023
0.15000000000000002,0.0,0.027
0.2,0.0,0.031
0.25,0.0,0.041
0.3,0.001,0.049
0.35000000000000003,0.003,0.061
0.4,0.025,0.079
0.45,0.062,0.104
0.5,0.15,0.136
0.505,0.171,0.142
0.51,0.204,0.142
0.515,0.199,0.144
0.52,0.241,0.154
0.525,0.234,0.156
0.53,0.258,0.153
0.535,0.275,0.156
0.54,0.294,0.172
0.545,0.307,0.169
0.55,0.348,0.172
0.555,0.349,0.174
0.56,0.381,0.174
0.5650000000000001,0.384,0.176
0.5700000000000001,0.437,0.193
0.5750000000000001,0.445,0.187
0.5800000000000001,0.483,0.19
0.5850000000000001,0.504,0.201
0.5900000000000001,0.515,0.194
0.592746,0.522,0.199
0.5950000000000001,0.552,0.195
0.6000000000000001,0.541,0.201
0.6050000000000001,0.584,0.208
0.6100000000000001,0.584,0.208
0.6150000000000001,0.636,0.215
0.6200000000000001,0.656,0.217
0.6250000000000001,0.701,0.225
0.6300000000000001,0.689,0.221
0.6350000000000001,0.722,0.234
0.6400000000000001,0.743,0.28
0.6450000000000001,0.771,0.236
0.6500000000000001,0.773,0.231
0.6550000000000001,0.784,0.232
0.6600000000000001,0.818,0.241
0.6650000000000001,0.804,0.24
0.6700000000000002,0.836,0.242
0.6750000000000002,0.84,0.242
0.6800000000000002,0.867,0.253
0.6850000000000002,0.894,0.251
0.6900000000000002,0.901,0.258
0.6950000000000002,0.901,0.268
0.7,0.927,0.276
0.75,0.973,0.284
0.8,0.993,0.311
0.8500000000000001,1.0,0.342
0.9000000000000001,1.0,0.343
0.9500000000000002,1.0,0.369
1.0000000000000002,1.0,0.475
