site_prob,perc_prob,perc_time
0.25,0.0,0.004
0.3,0.0,0.005
0.35,0.0,0.006
0.39999999999999997,0.02,0.008
0.44999999999999996,0.04,0.01
0.5,0.17,0.013
0.505,0.14,0.014
0.51,0.19,0.013
0.515,0.26,0.016
0.52,0.29,0.015
0.525,0.2,0.015
0.53,0.18,0.013
0.535,0.31,0.017
0.54,0.36,0.017
0.545,0.31,0.019
0.55,0.3,0.016
0.555,0.41,0.018
0.56,0.3,0.018
0.5650000000000001,0.44,0.018
0.5700000000000001,0.39,0.02
0.5750000000000001,0.4,0.019
0.5800000000000001,0.48,0.02
0.5850000000000001,0.41,0.019
0.5900000000000001,0.45,0.02
0.592746,0.59,0.021
0.5950000000000001,0.62,0.021
0.6000000000000001,0.51,0.023
0.6050000000000001,0.59,0.023
0.6100000000000001,0.59,0.021
0.6150000000000001,0.6,0.022
0.6200000000000001,0.64,0.021
0.6250000000000001,0.68,0.023
0.6300000000000001,0.62,0.021
0.6350000000000001,0.65,0.022
0.6400000000000001,0.72,0.023
0.6450000000000001,0.78,0.024
0.6500000000000001,0.73,0.024
0.6550000000000001,0.8,0.024
0.6600000000000001,0.78,0.024
0.6650000000000001,0.82,0.024
0.6700000000000002,0.9,0.025
0.6750000000000002,0.79,0.025
0.6800000000000002,0.92,0.026
0.6850000000000002,0.87,0.025
0.6900000000000002,0.85,0.025
0.6950000000000002,0.85,0.026
0.7,0.87,0.028
0.75,0.98,0.03
0.8,0.99,0.03
0.8500000000000001,1.0,0.031
