site_prob,perc_prob,perc_time
0.25,0.0,0.016
0.3,0.0,0.019
0.35,0.0,0.027
0.39999999999999997,0.0,0.038
0.44999999999999996,0.0,0.051
0.5,0.0,0.084
0.505,0.01,0.092
0.51,0.0,0.103
0.515,0.0,0.108
0.52,0.0,0.108
0.525,0.0,0.117
0.53,0.01,0.137
0.535,0.02,0.142
0.54,0.02,0.145
0.545,0.06,0.169
0.55,0.09,0.181
0.555,0.06,0.196
0.56,0.07,0.19
0.5650000000000001,0.24,0.253
0.5700000000000001,0.2,0.245
0.5750000000000001,0.22,0.243
0.5800000000000001,0.33,0.289
0.5850000000000001,0.38,0.306
0.5900000000000001,0.51,0.333
0.592746,0.52,0.351
0.5950000000000001,0.51,0.376
0.6000000000000001,0.66,0.391
0.6050000000000001,0.7,0.397
0.6100000000000001,0.69,0.405
0.6150000000000001,0.78,0.433
0.6200000000000001,0.86,0.456
0.6250000000000001,0.86,0.46
0.6300000000000001,0.87,0.476
0.6350000000000001,0.93,0.491
0.6400000000000001,0.95,0.497
0.6450000000000001,0.97,0.519
0.6500000000000001,1.0,0.524
0.6550000000000001,0.98,0.52
0.6600000000000001,1.0,0.531
0.6650000000000001,1.0,0.555
0.6700000000000002,1.0,0.555
0.6750000000000002,1.0,0.571
0.6800000000000002,1.0,0.57
0.6850000000000002,1.0,0.584
0.6900000000000002,1.0,0.593
0.6950000000000002,1.0,0.592
0.7,1.0,0.6
0.75,1.0,0.651
0.8,1.0,0.75
0.8500000000000001,1.0,0.742
