site_prob,perc_prob,perc_time
0.05,0.0,0.056
0.1,0.0,0.073
0.15000000000000002,0.0,0.092
0.2,0.0,0.119
0.25,0.0,0.146
0.3,0.0,0.195
0.35000000000000003,0.0,0.272
0.4,0.0,0.445
0.45,0.0,0.519
0.5,0.001,1.047
0.505,0.003,0.963
0.51,0.008,1.202
0.515,0.005,1.052
0.52,0.006,1.143
0.525,0.013,1.255
0.53,0.012,1.313
0.535,0.021,1.401
0.54,0.037,1.579
0.545,0.038,1.607
0.55,0.065,1.762
0.555,0.087,2.264
0.56,0.139,2.356
0.5650000000000001,0.16,2.471
0.5700000000000001,0.184,2.479
0.5750000000000001,0.289,2.693
0.5800000000000001,0.321,2.939
0.5850000000000001,0.388,3.141
0.5900000000000001,0.441,3.512
0.592746,0.514,3.935
0.5950000000000001,0.56,3.766
0.6000000000000001,0.618,3.68
0.6050000000000001,0.687,4.184
0.6100000000000001,0.736,4.669
0.6150000000000001,0.76,4.706
0.6200000000000001,0.846,4.669
0.6250000000000001,0.884,4.976
0.6300000000000001,0.921,4.82
0.6350000000000001,0.93,4.893
0.6400000000000001,0.944,4.959
0.6450000000000001,0.969,5.038
0.6500000000000001,0.989,5.238
0.6550000000000001,0.985,5.3
0.6600000000000001,0.994,5.35
0.6650000000000001,0.995,5.465
0.6700000000000002,0.999,5.581
0.6750000000000002,0.999,5.651
0.6800000000000002,0.999,5.659
0.6850000000000002,0.999,5.786
0.6900000000000002,1.0,5.831
0.6950000000000002,1.0,5.924
0.7,1.0,5.984
0.75,1.0,6.498
0.8,1.0,6.957
0.8500000000000001,1.0,7.437
0.9000000000000001,1.0,7.915
0.9500000000000002,1.0,8.585
1.0000000000000002,1.0,9.601
