site_prob,perc_prob,perc_time
0.25,0.0,0.399
0.3,0.0005,0.499
0.35,0.0051,0.636
0.39999999999999997,0.0201,0.808
0.44999999999999996,0.0651,1.048
0.5,0.1672,1.374
0.505,0.1838,1.403
0.51,0.1952,1.436
0.515,0.2122,1.476
0.52,0.2317,1.51
0.525,0.2472,1.546
0.53,0.264,1.594
0.535,0.282,1.621
0.54,0.2976,1.65
0.545,0.3115,1.683
0.55,0.3316,1.729
0.555,0.3659,1.759
0.56,0.3837,1.807
0.5650000000000001,0.4072,1.839
0.5700000000000001,0.4252,1.867
0.5750000000000001,0.4464,1.903
0.5800000000000001,0.4758,1.936
0.5850000000000001,0.4939,1.972
0.5900000000000001,0.5143,2.011
0.592746,0.5309,2.025
0.5950000000000001,0.5335,2.057
0.6000000000000001,0.5635,2.079
0.6050000000000001,0.578,2.146
0.6100000000000001,0.6086,2.134
0.6150000000000001,0.6319,2.182
0.6200000000000001,0.6513,2.248
0.6250000000000001,0.6674,2.254
0.6300000000000001,0.6905,2.252
0.6350000000000001,0.7075,2.313
0.6400000000000001,0.7267,2.35
0.6450000000000001,0.7516,2.361
0.6500000000000001,0.7677,2.432
0.6550000000000001,0.7859,2.412
0.6600000000000001,0.804,2.433
0.6650000000000001,0.8192,2.524
0.6700000000000002,0.8299,2.498
0.6750000000000002,0.8521,2.525
0.6800000000000002,0.8596,2.574
0.6850000000000002,0.8749,2.549
0.6900000000000002,0.8836,2.568
0.6950000000000002,0.8995,2.618
0.7,0.9081,2.614
0.75,0.9756,2.843
0.8,0.9965,2.974
0.8500000000000001,0.9996,3.17
